long.fips,long.name,short.fips,year,median.age,hs.plus,bachelors.plus,ag.percent.employ,mean.income,median.income,white.percent,papers.total,papers.daily,ktype_use,k.seats,party.presence,party.comp,general.presence,general.comp,population,pop_density
620L500US36018,"Assembly District 18 (2016), New York",36018,2018,34.7,75.7,20.9,0.08,81852,63995,21.8,62600,0,SMD,1,1,1,1,1,132814,9950.104885
620L500US36019,"Assembly District 19 (2016), New York",36019,2018,41.2,91.7,47.6,0.12,143370,108430,75.3,97720,0,SMD,1,1,1,1,1,132247,4517.712568
620L500US36002,"Assembly District 2 (2016), New York",36002,2018,45.7,93.2,34.6,1.56,106247,83169,91.68,83590,3215,SMD,1,1,1,1,1,128491,666.6545605
620L500US36020,"Assembly District 20 (2016), New York",36020,2018,41.8,93.7,47.6,0.19,130278,96410,83.53,84920,0,SMD,1,1,1,1,1,127465,5308.387473
620L500US36021,"Assembly District 21 (2016), New York",36021,2018,42.2,92.1,42.9,0.1,119868,93581,72.04,83680,0,SMD,1,1,1,1,1,129113,8137.203
620L500US36022,"Assembly District 22 (2016), New York",36022,2018,40,89.6,35.6,0.04,112516,96732,43.81,74320,0,SMD,1,1,1,1,1,136441,10648.6381
620L500US36023,"Assembly District 23 (2016), New York",36023,2018,39.8,81.3,29.3,0.05,82014,61248,62.19,17901,1377,SMD,1,1,1,1,1,131966,11233.06095
620L500US36024,"Assembly District 24 (2016), New York",36024,2018,38.4,80.9,35.3,0.2,85874,67589,29.68,10699,823,SMD,1,0,0,0,1,133669,19832.19585
620L500US36025,"Assembly District 25 (2016), New York",36025,2018,41.7,81.8,35.4,0.13,80909,63302,32.54,13312,1024,SMD,1,0,0,1,1,126005,16544.77416
620L500US36026,"Assembly District 26 (2016), New York",36026,2018,45.8,89.2,42.7,0.1,96328,77199,59.48,18122,1394,SMD,1,1,1,1,1,125636,13106.19654
620L500US36027,"Assembly District 27 (2016), New York",36027,2018,38.2,86.1,36.5,0.47,77310,58597,51.6,11648,896,SMD,1,0,0,0,1,129670,18828.22709
